id,name,taiwan_id,address,phone
1,劉翰,H121819605,台北市信義區光復路二段259巷309號,0986-231148
2,羅志怡,W254235114,台南市東區建國路三段136巷414號1樓,0981-967096
3,呂佳,U293103416,新北市板橋區文心路三段233巷326號,0955-219684
4,廖怡,R127648358,台北市大安區中正路三段206巷138號,0995-222955
5,簡廷豪,I138849690,台南市安平區光復路二段261巷253號,0912-657924
6,許俊柏,M284801840,新竹市北區自由路三段223巷81號,0948-798975
7,鄭穎,U125288099,台中市北區中正路一段186巷450號,0903-920659
8,王晴,C127824892,台南市北區光復路三段205巷344號11樓,0978-473417
9,劉思,C209839306,台北市信義區光復路一段17巷441號,0983-292004
10,簡家,X237631165,台中市北區文心路28巷345號,0906-763587
11,葉穎,G187262474,新北市板橋區復興路一段26巷334號,0913-174389
12,何子宏,M126064747,台南市永康區民生路二段152巷112號,0950-052578
13,潘芬,Q121913613,高雄市三民區中正路一段215巷337號10樓,0943-702258
14,周宗,M147510799,高雄市苓雅區自由路二段260巷136號3樓,0913-387477
15,賴彥,R298084128,台中市西屯區自由路二段140巷145號,0953-720892
16,曾宗芬,C240052421,新竹市北區文心路一段58巷39號,0980-875136
17,莊蓁,E145053311,台中市西區文心路二段122巷443號,0960-188073
18,葉穎翰,F160733759,台中市北屯區光復路一段99巷205號6樓,0914-368203
19,江明婷,I194019658,新竹市北區文心路一段198巷461號,0940-743215
20,蕭建,L215951481,台中市北區建國路152巷284號,0966-710219
21,鄭翰志,J236995777,台南市北區復興路二段44巷146號9樓,0913-705477
22,徐建,E103791763,新竹市香山區光復路254巷205號,0901-816232
23,蕭君,Z208317275,新竹市香山區建國路259巷219號9樓,0927-471932
24,曾翰,Y234714346,台中市南屯區自由路二段78巷119號,0931-435020
25,何廷宜,B166909673,台北市中山區和平路215巷276號,0973-286193
26,蕭明柏,K227298060,高雄市苓雅區自由路70巷444號,0904-397519
27,周廷,K264641703,新竹市香山區中正路三段115巷333號,0903-209044
28,林穎,E219374529,高雄市苓雅區民生路三段56巷297號1樓,0996-415922
29,謝穎,D291905865,新竹市北區自由路三段7巷435號7樓,0916-379781
30,高蓁,F298776944,台中市北屯區自由路三段231巷125號8樓,0950-518317
31,周晴,G245494807,高雄市三民區自由路二段209巷251號,0977-469945
32,林佳,H234957885,台中市北區建國路三段233巷139號5樓,0931-756321
33,謝婷君,G174989411,新北市中和區光復路三段92巷155號,0940-057174
34,賴晴,D194777521,台北市中山區復興路一段34巷206號,0990-159097
35,楊傑穎,D299938679,台南市安平區文心路三段292巷318號,0933-277501
36,王穎,F120679749,台北市大安區和平路三段233巷37號,0949-693300
37,謝婷思,U142102490,新竹市香山區和平路64巷240號12樓,0964-524783
38,簡傑淑,N294013997,台北市中山區中正路二段241巷266號11樓,0942-613762
39,蕭傑子,L255125670,台中市北區中正路46巷162號5樓,0916-906924
40,陳宜芬,G297703484,新北市中和區復興路63巷15號,0924-577596
41,陳傑思,D212748468,台南市永康區光復路283巷75號,0998-782544
42,蔡翰,Y258404490,高雄市鳳山區民生路276巷248號6樓,0988-395533
43,高建穎,S236057662,新竹市香山區民生路19巷65號9樓,0917-104555
44,高豪,N117459613,台中市西區文心路三段250巷447號,0991-246174
45,賴傑,N117240052,台北市中山區建國路三段221巷75號4樓,0992-178240
46,鄭柏,T179237476,台中市西屯區復興路三段280巷81號2樓,0959-313685
47,蕭廷穎,G271369599,台中市南屯區中正路141巷5號,0997-873294
48,賴詩,H194210472,台北市內湖區建國路二段47巷466號5樓,0962-210548
49,蔡翰怡,I245171234,新竹市香山區文心路三段47巷405號,0948-129592
50,高宗柏,U213709852,高雄市三民區自由路155巷333號,0920-992227
51,黃晴婷,D182675861,高雄市三民區文心路一段251巷316號7樓,0905-227823
52,羅穎涵,D285064317,台南市東區光復路一段26巷403號,0929-215173
53,李宏,H229042288,台中市北屯區自由路一段68巷8號,0995-016547
54,鄭芬家,X281177587,高雄市苓雅區復興路二段23巷373號11樓,0970-063780
55,潘蓁雅,P211592121,台中市西區建國路272巷151號8樓,0911-894217
56,洪彥思,N276615653,新竹市北區建國路二段243巷35號,0916-101255
57,莊芬,S216560499,台中市南屯區自由路二段80巷337號,0915-886438
58,莊翰,S168998092,新竹市香山區和平路一段93巷140號12樓,0955-006402
59,鄭翰,C101836678,台中市北屯區建國路三段167巷398號,0902-165056
60,張翰,O279764388,台北市中山區文心路一段146巷348號11樓,0984-047623
61,郭芬志,G232445103,台南市永康區民生路二段195巷273號,0988-873835
62,蘇翰,X160715969,高雄市鳳山區文心路三段59巷208號1樓,0929-482446
63,莊蓁,D169681647,新竹市北區光復路三段87巷40號,0988-203322
64,蘇豪穎,D143292122,新竹市北區復興路290巷330號11樓,0952-461124
65,李彥穎,Z290581476,台南市東區中正路三段147巷40號,0999-531699
66,呂淑彥,Z159782073,台北市中山區自由路二段21巷127號12樓,0978-548141
67,許涵佳,M259051510,高雄市鳳山區和平路三段77巷171號,0954-687923
68,江傑,J252816851,台北市中山區和平路二段110巷175號,0932-162471
69,李雅淑,V292962225,新竹市香山區民生路23巷211號,0979-298768
70,羅穎,J235977462,高雄市鳳山區民生路二段71巷447號,0975-581478
71,吳佳,C147826132,台南市安平區中正路28巷203號9樓,0936-085569
72,莊明,K152204725,新竹市北區復興路一段41巷10號,0928-985898
73,蕭佳,H210369712,台北市士林區中正路二段74巷150號,0995-252249
74,何傑,Q218888809,台南市永康區中正路192巷130號,0951-361551
75,邱廷,E158527722,新北市板橋區復興路一段151巷104號,0905-978710
76,徐子宗,B145054155,台南市永康區復興路174巷499號3樓,0975-969209
77,廖蓁,C292845116,台中市南屯區和平路219巷86號12樓,0957-044412
78,蘇翰芬,C258202971,台北市大安區自由路二段188巷186號,0992-712048
79,羅涵彥,Y192856543,新北市板橋區中正路二段256巷266號,0944-738237
80,羅佳,W231217270,台北市中山區建國路一段282巷278號5樓,0922-832250
